"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"26,3";"27,3";"26,3";"64,0";"64,0";"61,0";"18,8";"19,2";"18,7";"982,2";"982,2";"981,2";"3,0";"108,0";"7,9";"";""
"01/01/2022";"0100";"25,3";"26,3";"25,3";"69,0";"69,0";"64,0";"19,2";"19,2";"18,9";"982,7";"982,7";"982,2";"3,1";"111,0";"7,3";"";""
"01/01/2022";"0200";"24,4";"25,3";"24,4";"74,0";"74,0";"69,0";"19,6";"19,6";"19,2";"982,7";"982,7";"982,6";"1,8";"105,0";"6,3";"";""
"01/01/2022";"0300";"24,0";"24,4";"24,0";"79,0";"79,0";"74,0";"20,1";"20,1";"19,6";"982,3";"982,7";"982,3";"2,0";"110,0";"4,0";"";""
"01/01/2022";"0400";"23,7";"24,0";"23,6";"83,0";"83,0";"79,0";"20,7";"20,7";"20,1";"981,9";"982,3";"981,9";"2,0";"116,0";"3,5";"";""
"01/01/2022";"0500";"24,1";"24,1";"23,7";"82,0";"83,0";"82,0";"20,8";"20,9";"20,7";"981,6";"981,9";"981,6";"2,3";"118,0";"4,1";"";""
"01/01/2022";"0600";"23,6";"24,1";"23,6";"84,0";"84,0";"82,0";"20,9";"20,9";"20,8";"981,3";"981,6";"981,3";"1,9";"116,0";"4,1";"";""
"01/01/2022";"0700";"23,1";"23,6";"23,1";"88,0";"88,0";"84,0";"21,1";"21,1";"20,8";"981,3";"981,4";"981,2";"1,3";"100,0";"3,5";"";""
"01/01/2022";"0800";"23,7";"23,8";"23,1";"87,0";"89,0";"86,0";"21,3";"21,6";"21,2";"981,7";"981,7";"981,3";"2,3";"122,0";"4,2";"";""
"01/01/2022";"0900";"23,6";"23,7";"23,5";"88,0";"89,0";"87,0";"21,6";"21,6";"21,3";"982,5";"982,5";"981,7";"1,8";"121,0";"3,8";"16,80";""
"01/01/2022";"1000";"24,4";"24,4";"23,6";"85,0";"89,0";"85,0";"21,7";"21,7";"21,5";"983,4";"983,5";"982,5";"1,5";"116,0";"3,5";"217,60";""
"01/01/2022";"1100";"26,7";"26,7";"24,4";"76,0";"85,0";"75,0";"22,0";"22,2";"21,3";"983,6";"983,6";"983,4";"3,1";"104,0";"7,7";"1306,40";""
"01/01/2022";"1200";"27,0";"27,7";"26,5";"67,0";"76,0";"66,0";"20,3";"22,0";"20,3";"983,9";"983,9";"983,6";"2,7";"67,0";"7,7";"1743,70";""
"01/01/2022";"1300";"27,9";"29,0";"26,8";"64,0";"68,0";"59,0";"20,4";"21,3";"19,6";"983,9";"984,0";"983,8";"2,2";"97,0";"6,8";"1724,00";""
"01/01/2022";"1400";"30,0";"30,0";"27,7";"55,0";"64,0";"55,0";"19,9";"20,8";"19,2";"983,1";"983,9";"983,1";"3,4";"82,0";"7,6";"2828,00";""
"01/01/2022";"1500";"29,9";"30,6";"29,3";"53,0";"55,0";"51,0";"19,2";"20,0";"18,8";"982,3";"983,1";"982,3";"3,1";"83,0";"7,4";"2477,50";""
"01/01/2022";"1600";"30,9";"31,6";"29,6";"48,0";"54,0";"45,0";"18,8";"19,5";"18,2";"981,4";"982,3";"981,3";"3,2";"121,0";"8,1";"2182,00";""
"01/01/2022";"1700";"31,4";"32,1";"30,4";"44,0";"50,0";"41,0";"17,8";"19,5";"17,1";"980,5";"981,4";"980,5";"2,4";"120,0";"8,1";"2324,60";""
"01/01/2022";"1800";"32,5";"32,5";"31,4";"40,0";"45,0";"38,0";"17,0";"18,5";"16,2";"979,6";"980,5";"979,6";"3,0";"127,0";"6,2";"2871,80";""
"01/01/2022";"1900";"32,4";"32,8";"31,9";"39,0";"43,0";"38,0";"16,8";"18,2";"16,4";"979,0";"979,7";"979,0";"3,2";"123,0";"6,8";"2156,90";""
"01/01/2022";"2000";"31,6";"32,4";"31,1";"44,0";"44,0";"39,0";"17,7";"17,8";"16,6";"979,1";"979,1";"978,9";"4,3";"119,0";"6,9";"838,50";""
"01/01/2022";"2100";"28,9";"31,6";"28,9";"58,0";"58,0";"43,0";"19,9";"19,9";"17,3";"980,1";"980,1";"979,1";"4,7";"120,0";"8,0";"227,10";""
"01/01/2022";"2200";"27,4";"28,9";"27,4";"65,0";"65,0";"58,0";"20,2";"20,3";"19,9";"981,1";"981,1";"980,1";"4,3";"118,0";"8,9";"";""
"01/01/2022";"2300";"26,0";"27,4";"26,0";"72,0";"72,0";"65,0";"20,5";"20,5";"20,2";"982,1";"982,1";"981,1";"3,3";"108,0";"8,9";"";""
"02/01/2022";"0000";"25,2";"26,0";"25,2";"77,0";"77,0";"72,0";"20,8";"20,8";"20,5";"982,9";"982,9";"982,1";"2,9";"108,0";"5,5";"";""
"02/01/2022";"0100";"25,0";"25,2";"24,9";"77,0";"79,0";"77,0";"20,6";"21,1";"20,6";"983,5";"983,5";"982,9";"3,6";"102,0";"6,7";"";""
"02/01/2022";"0200";"24,6";"25,0";"24,6";"78,0";"78,0";"77,0";"20,6";"20,7";"20,5";"983,8";"983,8";"983,5";"2,4";"116,0";"6,8";"";""
"02/01/2022";"0300";"24,5";"24,7";"24,5";"79,0";"79,0";"78,0";"20,6";"20,7";"20,4";"983,4";"983,8";"983,4";"2,5";"110,0";"6,0";"";""
"02/01/2022";"0400";"24,2";"24,5";"24,2";"80,0";"81,0";"79,0";"20,6";"20,7";"20,6";"982,8";"983,4";"982,8";"2,9";"114,0";"5,0";"";""
"02/01/2022";"0500";"23,4";"24,2";"23,4";"83,0";"83,0";"80,0";"20,4";"20,6";"20,3";"982,5";"982,8";"982,5";"2,0";"112,0";"4,8";"";""
"02/01/2022";"0600";"22,9";"23,4";"22,9";"86,0";"86,0";"83,0";"20,4";"20,5";"20,3";"982,3";"982,5";"982,3";"1,1";"122,0";"3,9";"";""
"02/01/2022";"0700";"22,4";"22,9";"22,4";"95,0";"95,0";"86,0";"21,6";"21,6";"20,4";"982,4";"982,4";"982,2";"1,2";"108,0";"2,5";"";""
"02/01/2022";"0800";"22,3";"22,4";"22,2";"";"100,0";"95,0";"";"22,3";"21,6";"982,8";"982,8";"982,4";"1,0";"86,0";"2,5";"";""
"02/01/2022";"0900";"22,3";"22,3";"22,1";"";"";"";"";"";"";"983,7";"983,7";"982,8";"1,2";"92,0";"2,0";"31,70";""
"02/01/2022";"1000";"24,2";"24,2";"22,3";"87,0";"";"";"21,9";"";"";"983,9";"983,9";"983,7";"1,4";"116,0";"2,5";"546,20";""
"02/01/2022";"1100";"25,7";"25,7";"24,2";"76,0";"87,0";"76,0";"21,2";"22,1";"20,8";"984,4";"984,4";"983,9";"2,1";"103,0";"4,2";"911,50";""
"02/01/2022";"1200";"27,9";"28,2";"25,4";"62,0";"76,0";"61,0";"20,1";"21,0";"19,2";"984,6";"984,6";"984,4";"2,6";"80,0";"5,4";"1690,70";""
"02/01/2022";"1300";"28,4";"29,2";"27,0";"56,0";"63,0";"54,0";"18,9";"19,9";"18,5";"984,3";"984,6";"984,3";"3,4";"93,0";"6,6";"1944,80";""
"02/01/2022";"1400";"30,1";"30,1";"28,1";"51,0";"57,0";"49,0";"18,9";"19,5";"17,9";"983,7";"984,3";"983,7";"2,5";"87,0";"6,6";"2623,60";""
"02/01/2022";"1500";"31,0";"31,3";"29,2";"45,0";"51,0";"44,0";"17,8";"19,0";"17,1";"982,9";"983,8";"982,9";"2,9";"141,0";"6,2";"2976,30";""
"02/01/2022";"1600";"31,4";"32,0";"30,4";"43,0";"46,0";"40,0";"17,2";"17,8";"16,3";"982,0";"982,9";"982,0";"3,4";"82,0";"6,8";"3709,00";""
"02/01/2022";"1700";"32,2";"32,5";"31,3";"40,0";"43,0";"38,0";"16,8";"17,6";"16,2";"980,8";"982,0";"980,8";"3,2";"141,0";"7,9";"2871,20";""
"02/01/2022";"1800";"32,4";"32,7";"31,5";"40,0";"42,0";"38,0";"17,0";"17,2";"15,8";"980,0";"980,8";"980,0";"3,2";"117,0";"6,2";"2077,90";""
"02/01/2022";"1900";"32,0";"32,7";"31,3";"39,0";"42,0";"37,0";"16,3";"17,3";"15,8";"979,4";"980,0";"979,4";"3,5";"123,0";"7,3";"1589,20";""
"02/01/2022";"2000";"31,4";"32,4";"31,3";"39,0";"40,0";"38,0";"15,8";"16,9";"15,7";"979,8";"979,8";"979,4";"2,5";"127,0";"7,3";"813,50";""
"02/01/2022";"2100";"29,6";"31,4";"29,6";"46,0";"46,0";"39,0";"16,9";"16,9";"16,0";"980,4";"980,4";"979,8";"1,2";"102,0";"5,4";"150,10";""
"02/01/2022";"2200";"28,5";"29,5";"28,4";"52,0";"52,0";"46,0";"17,8";"17,8";"16,8";"981,0";"981,0";"980,4";"3,2";"120,0";"5,4";"";""
"02/01/2022";"2300";"26,8";"28,5";"26,8";"59,0";"59,0";"52,0";"18,1";"18,7";"17,8";"982,1";"982,1";"981,1";"4,6";"116,0";"9,2";"";""
"03/01/2022";"0000";"25,2";"26,8";"25,2";"66,0";"66,0";"59,0";"18,3";"18,3";"18,1";"983,2";"983,2";"982,1";"2,2";"98,0";"9,0";"";""
"03/01/2022";"0100";"24,2";"25,1";"24,2";"73,0";"73,0";"66,0";"19,0";"19,0";"18,3";"983,7";"983,8";"983,3";"1,6";"115,0";"4,5";"";""
"03/01/2022";"0200";"23,7";"24,2";"23,5";"78,0";"78,0";"73,0";"19,6";"19,6";"19,0";"983,7";"983,8";"983,6";"1,3";"88,0";"3,0";"";""
"03/01/2022";"0300";"23,7";"24,0";"23,7";"79,0";"79,0";"77,0";"19,8";"19,8";"19,7";"983,4";"983,8";"983,4";"1,7";"113,0";"2,7";"";""
"03/01/2022";"0400";"23,3";"23,7";"23,1";"83,0";"83,0";"79,0";"20,2";"20,2";"19,8";"983,0";"983,4";"983,0";"1,4";"112,0";"3,1";"";""
"03/01/2022";"0500";"23,5";"23,6";"23,3";"83,0";"83,0";"83,0";"20,5";"20,5";"20,3";"982,7";"983,0";"982,7";"2,3";"116,0";"4,6";"";""
"03/01/2022";"0600";"23,4";"23,6";"23,4";"84,0";"84,0";"83,0";"20,5";"20,6";"20,4";"982,6";"982,8";"982,6";"1,5";"134,0";"4,2";"";""
"03/01/2022";"0700";"22,9";"23,4";"22,9";"86,0";"86,0";"84,0";"20,5";"20,5";"20,3";"982,9";"982,9";"982,6";"1,8";"138,0";"3,2";"";""
"03/01/2022";"0800";"22,5";"22,9";"22,5";"90,0";"90,0";"86,0";"20,7";"20,7";"20,3";"983,8";"983,8";"982,9";"1,1";"95,0";"3,2";"";""
"03/01/2022";"0900";"22,4";"22,6";"22,3";"97,0";"97,0";"90,0";"21,9";"21,9";"20,8";"984,3";"984,3";"983,8";"1,0";"92,0";"2,4";"35,10";""
"03/01/2022";"1000";"23,9";"24,3";"22,4";"84,0";"98,0";"83,0";"21,0";"22,5";"20,9";"984,7";"984,7";"984,3";"1,9";"125,0";"3,6";"564,00";""
"03/01/2022";"1100";"25,3";"25,3";"23,9";"74,0";"84,0";"74,0";"20,5";"21,3";"20,0";"984,8";"984,8";"984,6";"2,6";"112,0";"6,2";"956,00";""
"03/01/2022";"1200";"27,1";"27,3";"25,3";"63,0";"75,0";"61,0";"19,4";"21,0";"18,7";"984,7";"984,8";"984,7";"3,5";"131,0";"6,3";"1743,70";""
"03/01/2022";"1300";"28,5";"28,8";"27,0";"52,0";"63,0";"52,0";"17,6";"19,9";"17,6";"984,4";"984,7";"984,3";"2,8";"112,0";"6,1";"2312,30";""
"03/01/2022";"1400";"29,3";"29,4";"28,1";"50,0";"52,0";"48,0";"17,7";"18,0";"16,8";"983,8";"984,4";"983,7";"3,2";"89,0";"8,0";"2449,90";""
"03/01/2022";"1500";"30,6";"30,8";"29,3";"39,0";"50,0";"39,0";"15,1";"17,8";"15,1";"983,4";"983,8";"983,3";"2,8";"135,0";"6,0";"2975,40";""
"03/01/2022";"1600";"31,5";"31,6";"29,9";"36,0";"43,0";"35,0";"14,4";"16,4";"14,3";"982,5";"983,4";"982,5";"1,7";"65,0";"5,4";"2645,50";""
"03/01/2022";"1700";"31,0";"32,1";"30,9";"38,0";"39,0";"32,0";"14,9";"15,9";"13,2";"981,1";"982,5";"981,1";"3,9";"128,0";"7,2";"2450,60";""
"03/01/2022";"1800";"32,3";"32,5";"31,0";"33,0";"38,0";"31,0";"14,1";"15,5";"12,7";"980,0";"981,1";"980,0";"3,5";"129,0";"7,2";"2439,10";""
"03/01/2022";"1900";"31,5";"32,3";"31,2";"32,0";"35,0";"31,0";"12,7";"14,2";"12,7";"979,5";"980,0";"979,5";"3,0";"130,0";"6,5";"1388,00";""
"03/01/2022";"2000";"31,2";"32,1";"31,1";"31,0";"32,0";"30,0";"12,2";"13,2";"11,5";"979,2";"979,5";"979,2";"3,7";"131,0";"6,8";"1160,00";""
"03/01/2022";"2100";"29,4";"31,3";"29,4";"41,0";"41,0";"31,0";"14,8";"14,9";"12,4";"979,5";"979,5";"979,2";"2,7";"117,0";"7,4";"284,30";""
"03/01/2022";"2200";"27,4";"29,4";"27,4";"59,0";"59,0";"41,0";"18,6";"18,6";"14,8";"980,7";"980,7";"979,5";"5,0";"112,0";"9,3";"";""
"03/01/2022";"2300";"26,4";"27,4";"26,4";"64,0";"64,0";"59,0";"19,0";"19,0";"18,6";"981,9";"981,9";"980,7";"3,6";"112,0";"9,3";"";""
"04/01/2022";"0000";"25,6";"26,4";"25,6";"71,0";"71,0";"64,0";"20,0";"20,0";"19,0";"983,0";"983,0";"981,9";"3,1";"114,0";"8,3";"";""
"04/01/2022";"0100";"24,6";"25,6";"24,6";"75,0";"75,0";"71,0";"19,9";"20,1";"19,9";"983,2";"983,3";"983,0";"2,6";"106,0";"6,2";"";""
